,dateRep,day,month,year,cases,totel,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
4740,12/31/2019,31,12,2019,0,0,0,France,FR,FRA,66987244,Europe
4739,01/01/2020,1,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4738,01/02/2020,2,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4737,01/03/2020,3,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4736,01/04/2020,4,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4735,01/05/2020,5,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4734,01/06/2020,6,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4733,01/07/2020,7,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4732,01/08/2020,8,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4731,01/09/2020,9,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4730,01/10/2020,10,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4729,01/11/2020,11,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4728,01/12/2020,12,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4727,01/13/2020,13,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4726,01/14/2020,14,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4725,01/15/2020,15,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4724,01/16/2020,16,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4723,01/17/2020,17,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4722,01/18/2020,18,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4721,01/19/2020,19,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4720,01/20/2020,20,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4719,01/21/2020,21,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4718,01/22/2020,22,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4717,01/23/2020,23,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4716,01/24/2020,24,1,2020,0,0,0,France,FR,FRA,66987244,Europe
4715,01/25/2020,25,1,2020,3,3,0,France,FR,FRA,66987244,Europe
4714,01/26/2020,26,1,2020,0,3,0,France,FR,FRA,66987244,Europe
4713,01/27/2020,27,1,2020,0,3,0,France,FR,FRA,66987244,Europe
4712,01/28/2020,28,1,2020,0,3,0,France,FR,FRA,66987244,Europe
4711,01/29/2020,29,1,2020,1,4,0,France,FR,FRA,66987244,Europe
4710,01/30/2020,30,1,2020,1,5,0,France,FR,FRA,66987244,Europe
4709,01/31/2020,31,1,2020,1,6,0,France,FR,FRA,66987244,Europe
4708,02/01/2020,1,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4707,02/02/2020,2,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4706,02/03/2020,3,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4705,02/04/2020,4,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4704,02/05/2020,5,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4703,02/06/2020,6,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4702,02/07/2020,7,2,2020,0,6,0,France,FR,FRA,66987244,Europe
4701,02/08/2020,8,2,2020,5,11,0,France,FR,FRA,66987244,Europe
4700,02/09/2020,9,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4699,02/10/2020,10,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4698,02/11/2020,11,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4697,02/12/2020,12,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4696,02/13/2020,13,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4695,02/14/2020,14,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4694,02/15/2020,15,2,2020,0,11,1,France,FR,FRA,66987244,Europe
4693,02/16/2020,16,2,2020,0,11,0,France,FR,FRA,66987244,Europe
4692,02/17/2020,17,2,2020,1,12,0,France,FR,FRA,66987244,Europe
4691,02/18/2020,18,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4690,02/19/2020,19,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4689,02/20/2020,20,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4688,02/21/2020,21,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4687,02/22/2020,22,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4686,02/23/2020,23,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4685,02/24/2020,24,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4684,02/25/2020,25,2,2020,0,12,0,France,FR,FRA,66987244,Europe
4683,02/26/2020,26,2,2020,2,14,0,France,FR,FRA,66987244,Europe
4682,02/27/2020,27,2,2020,3,17,1,France,FR,FRA,66987244,Europe
4681,02/28/2020,28,2,2020,21,38,0,France,FR,FRA,66987244,Europe
4680,02/29/2020,29,2,2020,19,57,0,France,FR,FRA,66987244,Europe
4679,03/01/2020,1,3,2020,43,100,0,France,FR,FRA,66987244,Europe
4678,03/02/2020,2,3,2020,30,130,0,France,FR,FRA,66987244,Europe
4677,03/03/2020,3,3,2020,48,178,1,France,FR,FRA,66987244,Europe
4676,03/04/2020,4,3,2020,34,212,1,France,FR,FRA,66987244,Europe
4675,03/05/2020,5,3,2020,73,285,0,France,FR,FRA,66987244,Europe
4674,03/06/2020,6,3,2020,138,423,3,France,FR,FRA,66987244,Europe
4673,03/07/2020,7,3,2020,190,613,2,France,FR,FRA,66987244,Europe
4672,03/08/2020,8,3,2020,103,716,1,France,FR,FRA,66987244,Europe
4671,03/09/2020,9,3,2020,410,1126,9,France,FR,FRA,66987244,Europe
4670,03/10/2020,10,3,2020,286,1412,11,France,FR,FRA,66987244,Europe
4669,03/11/2020,11,3,2020,372,1784,3,France,FR,FRA,66987244,Europe
4668,03/12/2020,12,3,2020,497,2281,15,France,FR,FRA,66987244,Europe
4667,03/13/2020,13,3,2020,595,2876,13,France,FR,FRA,66987244,Europe
4666,03/14/2020,14,3,2020,785,3661,18,France,FR,FRA,66987244,Europe
4665,03/15/2020,15,3,2020,838,4499,12,France,FR,FRA,66987244,Europe
4664,03/16/2020,16,3,2020,924,5423,36,France,FR,FRA,66987244,Europe
4663,03/17/2020,17,3,2020,1210,6633,21,France,FR,FRA,66987244,Europe
4662,03/18/2020,18,3,2020,1097,7730,27,France,FR,FRA,66987244,Europe
4661,03/19/2020,19,3,2020,1404,9134,69,France,FR,FRA,66987244,Europe
4660,03/20/2020,20,3,2020,1861,10995,128,France,FR,FRA,66987244,Europe
4659,03/21/2020,21,3,2020,1617,12612,78,France,FR,FRA,66987244,Europe
4658,03/22/2020,22,3,2020,1847,14459,112,France,FR,FRA,66987244,Europe
4657,03/23/2020,23,3,2020,1559,16018,112,France,FR,FRA,66987244,Europe
4656,03/24/2020,24,3,2020,3838,19856,186,France,FR,FRA,66987244,Europe
4655,03/25/2020,25,3,2020,2446,22302,240,France,FR,FRA,66987244,Europe
4654,03/26/2020,26,3,2020,2931,25233,231,France,FR,FRA,66987244,Europe
4653,03/27/2020,27,3,2020,3922,29155,365,France,FR,FRA,66987244,Europe
4652,03/28/2020,28,3,2020,3809,32964,299,France,FR,FRA,66987244,Europe
4651,03/29/2020,29,3,2020,4611,37575,319,France,FR,FRA,66987244,Europe
4650,03/30/2020,30,3,2020,2599,40174,292,France,FR,FRA,66987244,Europe
4649,03/31/2020,31,3,2020,4376,44550,418,France,FR,FRA,66987244,Europe
4648,04/01/2020,1,4,2020,7578,52128,499,France,FR,FRA,66987244,Europe
4647,04/02/2020,2,4,2020,4861,56989,509,France,FR,FRA,66987244,Europe
4646,04/03/2020,3,4,2020,2116,59105,471,France,FR,FRA,66987244,Europe
4645,04/04/2020,4,4,2020,5233,64338,2004,France,FR,FRA,66987244,Europe
4644,04/05/2020,5,4,2020,4267,68605,1053,France,FR,FRA,66987244,Europe
4643,04/06/2020,6,4,2020,1873,70478,518,France,FR,FRA,66987244,Europe
4642,04/07/2020,7,4,2020,3912,74390,833,France,FR,FRA,66987244,Europe
4641,04/08/2020,8,4,2020,3777,78167,1417,France,FR,FRA,66987244,Europe
4640,04/09/2020,9,4,2020,3881,82048,541,France,FR,FRA,66987244,Europe
4639,04/10/2020,10,4,2020,4286,86334,1341,France,FR,FRA,66987244,Europe
4638,04/11/2020,11,4,2020,4342,90676,987,France,FR,FRA,66987244,Europe
4637,04/12/2020,12,4,2020,3114,93790,635,France,FR,FRA,66987244,Europe
4636,04/13/2020,13,4,2020,1613,95403,561,France,FR,FRA,66987244,Europe
4635,04/14/2020,14,4,2020,2673,98076,574,France,FR,FRA,66987244,Europe
4634,04/15/2020,15,4,2020,5497,103573,762,France,FR,FRA,66987244,Europe
4633,04/16/2020,16,4,2020,2633,106206,1438,France,FR,FRA,66987244,Europe
4632,04/17/2020,17,4,2020,2641,108847,753,France,FR,FRA,66987244,Europe
4631,04/18/2020,18,4,2020,405,109252,761,France,FR,FRA,66987244,Europe
4630,04/19/2020,19,4,2020,2569,111821,642,France,FR,FRA,66987244,Europe
4629,04/20/2020,20,4,2020,785,112606,395,France,FR,FRA,66987244,Europe
4628,04/21/2020,21,4,2020,2051,114657,547,France,FR,FRA,66987244,Europe
4627,04/22/2020,22,4,2020,2667,117324,531,France,FR,FRA,66987244,Europe
4626,04/23/2020,23,4,2020,1827,119151,544,France,FR,FRA,66987244,Europe
4625,04/24/2020,24,4,2020,1653,120804,516,France,FR,FRA,66987244,Europe
4624,04/25/2020,25,4,2020,1773,122577,389,France,FR,FRA,66987244,Europe
4623,04/26/2020,26,4,2020,1537,124114,369,France,FR,FRA,66987244,Europe
4622,04/27/2020,27,4,2020,461,124575,242,France,FR,FRA,66987244,Europe
4621,04/28/2020,28,4,2020,1195,125770,437,France,FR,FRA,66987244,Europe
4620,04/29/2020,29,4,2020,1065,126835,367,France,FR,FRA,66987244,Europe
4619,04/30/2020,30,4,2020,1607,128442,427,France,FR,FRA,66987244,Europe
